id,text,label,explanation
0,The Official Gazette of the French Republic,not_provision,"This text is the name of a publication or official record and does not establish any legal rule, right, obligation, restriction, or process."
1,"J. O No. 155 of 6 July, 1990 Laws",not_provision,"This text appears to be a reference to a legal document or official gazette entry, including a number and date, rather than a substantive legal rule or obligation."
2,"Act No. 90-559 of 4 July, 1990 establishing the foundations of enterprises and amending the provisions of Act No. 87- 571 of 23 July, 1987 on the development of patronage relating to foundations (1)",not_provision,"This text is the title and citation of the Act, not a standalone legal rule or enforceable content."
3,"The National Assembly and the Senate adopted, The President of the Republic promulgates the law which reads as follows:",not_provision,"This paragraph serves as an introductory statement indicating the legislative process and promulgation of the law. It does not establish any legal rule, right, obligation, restriction, or process."
4,"Art. 1st. -I. -The fourth paragraph of article the 18 of the law No. 87-571 of 23 July, 1987 on the development of sponsorship (corporate patronage) is thus written: “When a recognized Foundation of public utility is created on the initiative of one or more commercial companies or of one or more public establishments of an industrial and commercial nature, the corporate name or denomination of at least one of them may be used for the designation of the said Foundation.”",provision,"This paragraph establishes a legal rule regarding the naming of a recognized Foundation of public utility created by commercial companies or public establishments, specifying that the corporate name or denomination of at least one of them may be used for the Foundation's designation. This is enforceable and actionable content."
5,"II. -Article 18 of the law No.87-571 of the 23 July,1987 aforementioned is completed by a paragraph so written: “The provisions of the first three paragraphs of II of the article 5 of this Act apply to all recognized foundations of public utility.”",provision,"This paragraph establishes that certain provisions from another article apply to all recognized foundations of public utility, thereby regulating their legal status. It is enforceable and actionable content."
6,"Art. 2. - After the article 18 of Act No. 87-571 of 23 July,1987 above, is inserted an article 18-1 thus worded: “Art. 18-1.- The initial allocation of a recognized public utility Foundation may be paid in several fractions over a maximum period of five years from the date of publication in the Official Gazette of the decree granting it recognition of public utility.”",provision,"This paragraph establishes a legal rule regarding the payment of the initial allocation for a recognized public utility Foundation, specifying that it may be paid in several fractions over a maximum period of five years. This is enforceable content regulating a legal matter."
7,"Art. 3. - After the article 18 of Act No 87-571 of 23 July, 1987 above, is inserted an article18-2 thus worded: “Art. 18-2.- A legacy may be made in favor of a foundation that does not exist on the day of the opening of the succession under the condition that it obtains, after the formalities of incorporation, the recognition of public utility.",provision,"This paragraph establishes a legal rule regarding the validity of a legacy made in favor of a foundation that does not yet exist at the time of succession, contingent upon the foundation obtaining public utility recognition after incorporation. It is enforceable and regulates legal matters."
8,"“The application for recognition of public utility must be lodged with the competent administrative authority within the year following the opening of the estate, under penalty of being declared void. “By way of derogation from the provisions of the second paragraph of the article 18, the legal personality of the recognized public utility Foundation is retroactive to the day of the opening of the estate. “In default of a non-appointment by the testator of the persons responsible for establishing the Foundation and seeking the recognition of its public utility, these formalities are carried out by a Foundation recognized as a public utility designated by the State representative in the region where the estate is opened. “For the fulfilment of these formalities, the persons referred to in the preceding paragraph shall have the referral on the furniture and buildings bequeathed. They have to the respect to them an administrative power unless the testator has given them more extensive powers.”",provision,"This paragraph establishes legal rules and procedures regarding the application for recognition of public utility, the retroactive effect of legal personality, the appointment of persons responsible for formalities, and the powers of those persons. It sets out enforceable obligations and processes, making it a legal provision."
9,"Art. 4. – The article 19 of Act No. 87-571 of 23 July, 1987 above is replaced by articles 19 to 19-13, as follows: “Art. 19. - Civil or commercial companies, public establishments of an industrial and commercial nature, cooperatives or mutual funds may create, with a view to the realization of a work of general interest, a not for-profit legal person, called the corporate Foundation. At the time of the Constitution of the company Foundation, the founder or founders bring the initial allocation referred to in the article 19-6 and undertake to make the payments mentioned in the article19-7 of the present law. “Art. 19-1. - The company Foundation enjoys the legal capacity from the publication in the Official Gazette of the administrative authorization that him confers it this status. “Such authorization shall be deemed to have been granted by the end of four months from the date of the request. It is then made the subject of the publication as laid down in the paragraph above. “The company Foundation shall make known to the administrative authority any changes made to its statutes; these changes are permitted in the same forms as the original statutes. Where the purpose of the amendment to the statutes is to increase the program of multi-annual action, the staffing must be completed in accordance with the article 19-6. “Art. 19-2.- The establishment of a company is created for a fixed term which may not be less than five years. No founder can withdraw if he has not paid in full sums he has pledged to pay. Upon expiry of this period, the founders or some of them only may decide the extension of the Foundation for a period of at least five years. In the event of an extension, the founders undertake a new multiannual action program within the meaning of article 19-7 below and supplement, if necessary, the staffing defined in section 19-6. The extension is permitted in the forms provided for in the initial authorization. “Art. 19-3. - The company Foundation may, subject to the provisions of article 19-8, make all acts of the civil life that is not prohibited by its statutes, but it cannot acquire or possess other buildings other than those necessary for the purpose it proposes. All securities must be placed in registered securities, in securities for which the nominative reference slip is provided for in the article 55 of Act No. 87-416 of 17 June, 1987 on savings or in securities accepted by the Banque de France as advance guarantees. Where the company Foundation holds shares of the founding companies or companies controlled by them, the Foundation may not exercise the voting rights attached to such shares. “Art. 19-4.- The company Foundation is administered by a Board of Directors composed for not more than two thirds of the founders or their representatives and representatives of the staff, and for at least one third of the personalities qualified in its areas of intervention. The personalities are chosen by the founders or their representatives and appointed at the first constituent meeting of the Board of Directors.",provision,"This text establishes legal rules and procedures regarding the creation, operation, and governance of a corporate Foundation, including requirements for authorization, legal capacity, amendments to statutes, duration, extension, permissible activities, asset management, and board composition. Each article sets out enforceable obligations and rights, making it a collection of legal provisions."
